Alcohol,Flavanoids,Color Intensity,Proline,class
12.87,0.65,7.65,625,3
13.32,0.76,8.42,650,3
13.08,1.39,9.4,550,3
13.5,1.57,8.6,500,3
12.79,1.36,10.8,480,3
13.11,1.28,7.1,425,3
13.23,0.83,10.52,675,3
12.58,0.58,7.6,640,3
13.17,0.63,7.9,725,3
13.84,0.83,9.01,480,3
12.45,0.58,7.5,880,3
14.34,1.31,13,660,3
13.48,1.1,11.75,620,3
12.36,0.92,7.65,520,3
13.69,0.56,5.88,680,3
12.85,0.6,5.58,570,3
12.96,0.7,5.28,675,3
13.78,0.68,9.58,615,3
13.73,0.47,6.62,520,3
13.45,0.92,10.68,695,3
12.82,0.66,10.26,685,3
13.58,0.84,8.66,750,3
13.4,0.96,8.5,630,3
12.2,0.49,5.5,510,3
12.77,0.51,9.899,470,3
14.16,0.7,9.7,660,3
13.71,0.61,7.7,740,3
13.4,0.75,7.3,750,3
13.27,0.69,10.2,835,3
13.17,0.68,9.3,840,3
14.13,0.76,9.2,560,3
